"","id","uri","nome","siglaPartido","uriPartido","siglaUf","idLegislatura","urlFoto","email","titulo","codTitulo","dataInicio","dataFim"
"1",73552,"https://dadosabertos.camara.leg.br/api/v2/deputados/73552","Michel Temer",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/73552.jpg",NA,"Presidente",1,"1999-02-02","2001-02-14"
"2",97707,"https://dadosabertos.camara.leg.br/api/v2/deputados/97707","Heráclito Fortes",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/97707.jpg",NA,"1º Vice-Presidente",2,"1999-02-02","2001-02-14"
"3",74436,"https://dadosabertos.camara.leg.br/api/v2/deputados/74436","Severino Cavalcanti",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/74436.jpg",NA,"2º Vice-Presidente",3,"1999-02-02","2001-02-14"
"4",74307,"https://dadosabertos.camara.leg.br/api/v2/deputados/74307","Ubiratan Aguiar",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/74307.jpg",NA,"1º Secretário",5,"1999-02-02","2001-02-14"
"5",73761,"https://dadosabertos.camara.leg.br/api/v2/deputados/73761","Nelson Trad",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/73761.jpg",NA,"2º Secretário",6,"1999-02-02","2001-02-14"
"6",74548,"https://dadosabertos.camara.leg.br/api/v2/deputados/74548","Jaques Wagner",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/74548.jpg",NA,"3º Secretário",7,"1999-02-02","2001-02-14"
"7",74407,"https://dadosabertos.camara.leg.br/api/v2/deputados/74407","Efraim Morais",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/74407.jpg",NA,"4º Secretário",8,"1999-02-02","2001-02-14"
"8",74077,"https://dadosabertos.camara.leg.br/api/v2/deputados/74077","Giovanni Queiroz",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/74077.jpg",NA,"1º Suplente de Secretário",9,"1999-02-02","2001-02-14"
"9",73982,"https://dadosabertos.camara.leg.br/api/v2/deputados/73982","Luciano Castro",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/73982.jpg",NA,"2º Suplente de Secretário",10,"1999-02-02","2001-02-14"
"10",73678,"https://dadosabertos.camara.leg.br/api/v2/deputados/73678","Zé Gomes da Rocha",NA,NA,NA,51,"https://www.camara.leg.br/internet/deputado/bandep/73678.jpg",NA,"3º Suplente de Secretário",11,"1999-02-02","2001-02-14"
